Word: serai, Count: 697, Score: ⬛⬛⬛🟨⬛
Word: reais, Count: 769, Score: ⬛⬛🟨⬛⬛
Word: soare, Count: 769, Score: ⬛⬛🟨⬛⬛
Word: paseo, Count: 776, Score: ⬛⬛⬛🟨⬛
Word: aeros, Count: 801, Score: 🟨⬛⬛⬛⬛
Word: kaies, Count: 821, Score: ⬛⬛⬛⬛⬛
Word: nares, Count: 823, Score: ⬛⬛⬛⬛⬛
Word: nears, Count: 823, Score: ⬛⬛⬛⬛⬛
Word: reans, Count: 823, Score: ⬛⬛⬛⬛⬛
Word: stoae, Count: 825, Score: ⬛⬛⬛🟨⬛
Word: arles, Count: 832, Score: ⬛⬛⬛⬛⬛
Word: lares, Count: 832, Score: ⬛⬛⬛⬛⬛
Word: lears, Count: 832, Score: ⬛⬛⬛⬛⬛
Word: rales, Count: 832, Score: ⬛⬛⬛⬛⬛
Word: reals, Count: 832, Score: ⬛⬛⬛⬛⬛
Word: seral, Count: 832, Score: ⬛⬛⬛⬛⬛
Word: oaves, Count: 833, Score: 🟨⬛⬛⬛⬛
Word: saner, Count: 840, Score: 🟨⬛⬛⬛⬛
Word: snare, Count: 840, Score: 🟨⬛⬛⬛⬛
Word: lanes, Count: 842, Score: ⬛⬛⬛⬛⬛
Word: laers, Count: 843, Score: ⬛⬛🟨⬛⬛
Word: saine, Count: 848, Score: ⬛⬛⬛⬛🟨
Word: aloes, Count: 850, Score: 🟨⬛⬛⬛⬛
Word: nates, Count: 850, Score: ⬛⬛⬛⬛⬛
Word: rates, Count: 858, Score: ⬛⬛⬛⬛⬛
Word: stare, Count: 858, Score: ⬛⬛⬛⬛⬛
Word: strae, Count: 858, Score: ⬛⬛⬛⬛⬛
Word: tares, Count: 858, Score: ⬛⬛⬛⬛⬛
Word: tears, Count: 858, Score: ⬛⬛⬛⬛⬛
Word: teras, Count: 858, Score: ⬛⬛⬛⬛⬛
Word: solei, Count: 860, Score: 🟨⬛⬛⬛⬛
Word: aeons, Count: 861, Score: 🟨⬛⬛⬛⬛
Word: earls, Count: 862, Score: 🟨⬛⬛⬛⬛
Word: salet, Count: 865, Score: ⬛⬛⬛⬛⬛
Word: slate, Count: 865, Score: ⬛⬛⬛⬛⬛
Word: stale, Count: 865, Score: ⬛⬛⬛⬛⬛
Word: tales, Count: 865, Score: ⬛⬛⬛⬛⬛
Word: arose, Count: 867, Score: 🟨⬛⬛🟨⬛
Word: aesir, Count: 868, Score: ⬛⬛🟨⬛⬛
Word: stane, Count: 869, Score: ⬛⬛⬛⬛🟨
Word: oases, Count: 881, Score: ⬛⬛⬛🟨⬛
Word: arise, Count: 882, Score: ⬛⬛⬛🟨⬛
Word: raise, Count: 882, Score: ⬛⬛⬛🟨⬛
Word: aures, Count: 885, Score: 🟨⬛⬛⬛⬛
Word: slane, Count: 885, Score: 🟨⬛⬛⬛⬛
Word: leans, Count: 893, Score: ⬛🟨⬛⬛⬛
Word: neals, Count: 893, Score: ⬛🟨⬛⬛⬛
Word: acres, Count: 901, Score: ⬛⬛⬛⬛🟩
Word: antes, Count: 901, Score: 🟨⬛⬛⬛⬛
Word: cares, Count: 901, Score: ⬛⬛⬛⬛🟩
Word: races, Count: 901, Score: ⬛⬛⬛⬛🟩
Word: aisle, Count: 906, Score: ⬛⬛🟨⬛⬛
Word: leats, Count: 913, Score: ⬛🟨⬛⬛⬛
Word: setal, Count: 913, Score: ⬛🟨⬛⬛⬛
Word: teals, Count: 913, Score: ⬛🟨⬛⬛⬛
Word: ideas, Count: 916, Score: ⬛⬛🟨⬛⬛
Word: cates, Count: 920, Score: ⬛⬛⬛⬛🟩
Word: taces, Count: 920, Score: ⬛⬛⬛⬛🟩
Word: scare, Count: 921, Score: 🟨⬛⬛⬛⬛
Word: scrae, Count: 921, Score: 🟨⬛⬛⬛⬛
Word: serac, Count: 921, Score: 🟨⬛⬛⬛⬛
Word: sepia, Count: 929, Score: ⬛⬛⬛⬛🟨
Word: saice, Count: 936, Score: ⬛⬛⬛⬛🟨
Word: anise, Count: 937, Score: ⬛⬛⬛🟨⬛
Word: hares, Count: 937, Score: ⬛⬛⬛⬛⬛
Word: hears, Count: 937, Score: ⬛⬛⬛⬛⬛
Word: share, Count: 937, Score: ⬛⬛⬛⬛⬛
Word: acnes, Count: 939, Score: ⬛⬛⬛⬛🟩
Word: canes, Count: 939, Score: ⬛⬛⬛⬛🟩
Word: arets, Count: 940, Score: ⬛⬛🟨⬛⬛
Word: sayer, Count: 940, Score: 🟨⬛⬛⬛⬛
Word: stear, Count: 940, Score: ⬛⬛🟨⬛⬛
Word: claes, Count: 941, Score: ⬛⬛⬛⬛⬛
Word: laces, Count: 941, Score: ⬛⬛⬛⬛⬛
Word: earns, Count: 943, Score: 🟨⬛⬛⬛⬛
Word: paise, Count: 949, Score: ⬛⬛⬛🟨⬛
Word: ursae, Count: 949, Score: ⬛⬛🟨⬛⬛
Word: urase, Count: 950, Score: ⬛⬛⬛🟨⬛
Word: toeas, Count: 962, Score: ⬛⬛🟨⬛⬛
Word: dates, Count: 965, Score: ⬛⬛⬛⬛⬛
Word: sated, Count: 965, Score: ⬛⬛⬛⬛⬛
Word: hales, Count: 968, Score: ⬛⬛⬛⬛⬛
Word: manes, Count: 968, Score: ⬛⬛⬛⬛⬛
Word: names, Count: 968, Score: ⬛⬛⬛⬛⬛
Word: apres, Count: 972, Score: ⬛⬛⬛⬛⬛
Word: pares, Count: 972, Score: ⬛⬛⬛⬛⬛
Word: pears, Count: 972, Score: ⬛⬛⬛⬛⬛
Word: rapes, Count: 972, Score: ⬛⬛⬛⬛⬛
Word: reaps, Count: 972, Score: ⬛⬛⬛⬛⬛
Word: spaer, Count: 972, Score: ⬛⬛⬛⬛⬛
Word: spare, Count: 972, Score: ⬛⬛⬛⬛⬛
Word: samen, Count: 974, Score: 🟨⬛⬛⬛⬛
Word: scale, Count: 974, Score: ⬛⬛⬛⬛🟨
Word: laser, Count: 975, Score: ⬛⬛🟨⬛⬛
Word: mares, Count: 978, Score: ⬛⬛⬛⬛⬛
Word: reams, Count: 978, Score: ⬛⬛⬛⬛⬛
Word: neats, Count: 979, Score: ⬛🟨⬛⬛⬛
Word: orals, Count: 980, Score: ⬛⬛⬛⬛⬛
Word: psoae, Count: 980, Score: ⬛🟨⬛⬛🟨
Word: solar, Count: 980, Score: ⬛⬛⬛⬛⬛
